Positioning,Rank,Player Name,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Position,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Age,Att_Work_Rate,Def_Work_Rate,Age.1,Foot,Height,League,Nation,Team,Weight
48,35,Cecilie Sandvej,72,63,42,55,57,74,73,CB,63,63,43,46,37,35,41,49,52,35,64,54,54,58,63,73,59,53,58,71,69,76,76,70,75,65,75,75,33,Medium,Medium,33,Left,17,D1 Arkema,Denmark,Dijon FCO,66
70,35,Carlinhos,72,68,68,72,74,55,74,CM,69,68,64,76,73,58,55,71,69,66,74,72,70,70,72,71,75,76,68,55,60,48,60,54,74,78,74,67,29,High,Medium,29,Right,17,Liga Portugal,Brazil,Portimonense SC,74
71,35,Ivo Rodrigues,72,75,70,69,75,43,63,CAM,78,72,66,76,73,66,70,75,73,64,67,58,75,83,70,70,75,76,65,39,48,39,47,45,73,63,61,67,28,High,Medium,28,Right,18,ROSHN Saudi League,Portugal,Al Khaleej,76
77,35,Josh Sargent,72,73,72,63,68,48,83,ST,73,73,73,77,65,67,62,65,58,56,67,57,62,76,65,72,66,67,68,52,72,45,45,33,87,88,82,79,23,High,High,23,Right,18,EFL Championship,United States,Norwich,79
72,35,Manprit Sarkaria,72,80,72,71,74,36,71,ST,78,81,72,74,73,67,70,74,70,69,71,69,74,84,72,67,73,74,71,37,61,30,33,33,79,79,73,54,27,High,Low,27,Left,18,Ö. Bundesliga,Austria,SK Sturm Graz,74
68,35,Pape Matar Sarr,72,67,63,68,73,67,66,CM,69,66,62,68,66,54,50,66,58,49,78,72,54,64,70,71,75,74,70,65,58,67,73,66,67,69,64,68,21,Medium,Medium,21,Right,18,Premier League,Senegal,Spurs,70
74,35,Martín Satriano,72,64,72,56,71,32,68,ST,63,65,77,69,68,64,69,58,47,53,67,45,51,58,57,68,76,72,68,18,71,27,34,31,77,66,72,60,22,Medium,Medium,22,Right,18,Ligue 1 Uber Eats,Uruguay,Stade Brestois 29,75
69,35,Kevin Schade,72,94,64,59,72,29,64,RW,93,94,68,68,54,60,57,61,68,35,66,41,44,78,78,65,70,74,60,23,69,20,30,23,82,58,64,68,22,High,Medium,22,Right,18,Premier League,Germany,Brentford,74
72,35,András Schäfer,72,72,61,67,73,64,64,CM,71,72,57,68,71,45,42,66,63,53,75,70,45,78,77,77,74,70,69,73,48,66,64,57,60,80,55,69,24,Medium,Medium,24,Right,17,Bundesliga,Hungary,Union Berlin,72
71,35,Louis Schaub,72,71,67,72,75,41,66,CAM,64,76,69,65,66,60,65,73,69,62,75,71,68,84,79,68,75,73,73,38,55,45,36,39,65,73,65,62,28,Medium,Medium,28,Left,17,Bundesliga 2,Austria,Hannover 96,72
29,35,Christopher Schindler,72,60,33,53,56,73,72,CB,56,64,29,50,24,30,52,50,45,33,61,57,42,54,57,69,65,46,72,72,72,73,74,71,77,64,76,70,33,Low,Medium,33,Right,18,Bundesliga 2,Germany,1. FC Nürnberg,83
27,35,Keven Schlotterbeck,72,53,27,51,54,74,75,CB,53,53,23,33,26,26,39,58,25,32,65,59,29,54,55,70,57,49,68,71,72,73,78,70,79,64,83,66,26,Medium,Medium,26,Left,18,Bundesliga,Germany,VfL Bochum,86
44,35,Sebastian Schonlau,72,58,41,53,58,74,75,CB,62,55,39,48,37,31,51,44,40,42,67,61,34,65,63,69,60,53,67,73,72,74,76,73,78,80,74,68,29,Medium,Medium,29,Right,18,Bundesliga 2,Germany,Hamburger SV,80
75,35,Siebe Schrijvers,72,64,72,72,73,62,63,CM,68,61,73,73,69,78,68,74,69,72,73,70,73,78,73,71,74,72,77,64,60,59,63,61,66,71,57,67,27,High,Medium,27,Right,18,1A Pro League,Belgium,OH Leuven,67
69,35,Amelie Schuster,72,65,62,65,71,61,66,CM,63,66,69,46,66,39,66,69,47,49,76,73,42,61,60,71,75,73,59,70,58,56,63,58,66,68,66,62,19,Medium,Medium,19,Right,17,Schweizer Damen Liga,Germany,FC Zürich,61
69,35,Alex Scott,72,74,62,71,76,63,68,CM,75,74,63,63,62,53,52,72,68,66,74,71,67,84,85,71,74,75,72,66,51,64,66,61,67,78,65,62,20,High,Medium,20,Right,17,Premier League,England,AFC Bournemouth,68
59,35,Paul Seguin,72,59,59,71,71,68,75,CM,64,55,56,65,63,51,48,73,68,52,75,71,62,69,65,73,77,68,73,69,66,69,67,66,74,80,74,69,28,Medium,Medium,28,Right,18,Bundesliga 2,Germany,FC Schalke 04,82
52,35,Alidu Seidu,72,59,37,60,67,75,58,CB,67,52,35,32,41,42,37,52,66,31,68,61,42,63,69,75,70,65,73,76,71,75,75,74,71,47,57,73,23,Medium,Medium,23,Right,17,Ligue 1 Uber Eats,Ghana,Clermont Foot 63,68
14,35,Bruno Varela,72,72,70,63,74,39,71,GK,37,43,16,47,18,12,24,52,20,13,31,25,20,59,43,70,25,19,33,17,16,15,12,20,66,44,73,23,29,Medium,Medium,29,Right,19,Liga Portugal,Portugal,Vitória SC,88
74,35,Jaime Seoane,72,70,72,71,74,66,75,CM,72,69,72,74,71,55,73,73,68,76,72,70,73,73,79,69,76,73,76,67,65,65,69,61,77,78,74,75,26,Medium,Medium,26,Right,17,LALIGA HYPERMOTION,Spain,R. Oviedo,73
62,35,Jean Michaël Seri,72,57,65,77,74,66,61,CDM,66,50,60,72,70,54,67,79,72,74,78,77,77,78,83,72,76,71,78,71,53,68,67,62,58,71,54,66,32,Medium,Medium,32,Right,17,EFL Championship,Côte d'Ivoire,Hull City,74
68,35,Leonardo Sernicola,72,70,58,71,71,69,69,RM,70,70,54,68,59,40,56,70,75,59,72,67,66,64,73,74,72,71,64,70,65,71,69,67,72,78,67,62,26,Low,High,26,Right,18,Serie BKT,Italy,Cremonese,81
73,35,Jaedyn Shaw,72,82,68,67,69,35,61,LM,81,83,70,70,61,67,66,65,71,56,70,63,67,68,64,70,72,69,66,35,52,38,26,34,68,71,59,52,19,High,Medium,19,Right,16,NWSL,United States,San Diego Wave,58
68,35,Volodymyr Shepelev,72,64,63,64,69,65,62,CM,69,60,64,60,70,34,53,74,34,56,76,74,32,67,58,74,74,68,63,69,40,68,67,70,54,68,57,69,26,Medium,Medium,26,Right,18,Ukrayina Liha,Ukraine,Dynamo Kyiv,73
72,35,Eldor Shomurodov,72,78,71,63,73,39,71,ST,82,74,71,73,69,75,65,68,55,53,67,58,68,74,70,64,74,75,65,39,74,37,33,30,89,67,76,59,28,High,Medium,28,Right,19,Serie A TIM,Uzbekistan,Cagliari,76
68,35,Óscar Sielva,72,62,71,72,69,66,73,CM,61,63,69,77,74,64,69,75,62,77,75,71,77,68,73,70,72,67,74,69,54,67,67,65,67,82,73,64,32,Medium,Medium,32,Right,17,LALIGA HYPERMOTION,Spain,SD Huesca,78
72,35,Carlos Sierra,72,58,77,72,69,62,81,CM,51,64,74,82,83,67,65,71,66,75,76,70,68,70,71,60,77,66,56,65,72,58,62,59,79,80,85,73,33,Medium,Medium,33,Left,18,Sudamericana,Colombia,Junior,87
24,35,Francisco Sierralta,72,52,30,51,53,70,76,CB,51,53,30,38,25,23,40,33,57,28,66,45,37,51,34,71,63,46,52,72,67,73,68,70,75,53,85,80,26,Low,High,26,Right,19,EFL Championship,Chile,Watford,83
49,35,Kiliann Sildillia,72,71,30,58,64,73,71,RB,69,72,26,35,29,21,41,50,65,30,66,52,50,65,68,66,67,62,56,71,73,73,73,72,79,71,71,71,21,Medium,Medium,21,Right,18,Bundesliga,France,SC Freiburg,76
66,35,Jonathan Silva,72,70,60,66,70,70,76,LB,72,69,48,78,69,62,55,60,69,70,69,63,71,72,69,70,71,70,67,69,55,72,72,70,72,80,71,82,29,Medium,Medium,29,Left,17,LALIGA HYPERMOTION,Argentina,Albacete BP,72
74,35,Giuliano Simeone,72,83,69,58,70,26,80,ST,84,83,74,68,64,58,62,62,60,46,65,42,53,79,83,72,70,68,59,25,69,18,20,24,88,79,82,75,21,High,Medium,21,Right,17,LALIGA EA SPORTS,Argentina,D. Alavés,70
59,35,Bénédicte Simon,72,88,47,57,67,68,59,RB,88,88,47,53,41,40,47,52,59,42,65,47,58,77,83,66,67,63,66,70,53,68,72,70,64,79,47,64,26,High,Low,26,Right,16,Liga F,France,Levante LP,59
70,35,Daley Sinkgraven,72,74,60,72,74,68,61,LB,79,69,58,63,59,65,56,72,71,65,72,74,74,79,78,66,75,74,68,70,67,67,69,66,70,72,50,73,28,Medium,Medium,28,Left,17,LALIGA EA SPORTS,Holland,UD Las Palmas,70
30,35,Mile Škorić,72,55,42,49,48,73,76,CB,52,58,47,46,26,31,58,45,40,26,60,58,25,43,46,68,55,42,55,72,72,76,71,68,79,60,85,71,32,Low,High,32,Right,18,CSL,Croatia,Cangzhou FC,80
75,35,Steven Skrzybski,72,78,74,65,73,37,66,CF,77,79,74,77,71,78,62,68,64,59,68,55,68,76,76,71,73,72,65,37,56,33,37,28,69,83,58,64,31,High,Medium,31,Right,17,Bundesliga 2,Germany,Holstein Kiel,70
56,35,Marcel Sobottka,72,72,57,63,66,71,75,CDM,65,78,56,62,57,51,45,59,58,44,71,67,46,64,65,69,68,65,72,71,60,73,74,71,73,78,75,72,29,Medium,High,29,Right,18,Bundesliga 2,Germany,Düsseldorf,75
75,35,Serginho,72,70,74,73,72,47,78,CM,63,75,73,76,75,65,70,73,66,71,76,73,73,72,66,70,73,72,71,49,64,34,54,48,78,78,84,61,29,High,Medium,29,Left,18,CSL,Brazil,Changchun Yatai,85
70,35,Yuki Soma,72,89,64,65,74,53,62,RW,91,88,68,60,60,54,64,65,69,66,66,59,65,82,86,65,70,75,66,38,51,51,64,59,78,64,56,72,26,High,Low,26,Right,16,Liga Portugal,Japan,Casa Pia AC,68
12,35,Juan Soriano,72,72,68,67,74,37,70,GK,37,37,14,50,16,13,28,38,13,24,23,24,32,43,43,71,23,20,47,16,20,16,10,14,60,35,58,25,26,Medium,Medium,26,Left,18,LALIGA HYPERMOTION,Spain,CD Tenerife,78
66,35,José Sosa,72,52,65,77,74,64,63,CM,51,53,60,72,66,73,75,80,80,75,75,71,84,70,75,70,78,72,80,64,52,64,69,65,58,60,62,69,38,Medium,Low,38,Right,18,Sudamericana,Argentina,Estudiantes,78
60,35,Lúcia Alves,72,75,43,67,69,66,62,LB,79,72,39,60,34,28,45,55,73,42,73,69,70,75,88,66,69,66,66,69,55,66,67,72,66,74,53,67,26,High,Medium,26,Right,15,Liga Portugal Feminino,Portugal,SL Benfica,55
63,35,Dario Špikić,72,83,68,65,76,49,61,RW,81,84,66,72,72,61,65,63,68,62,67,61,66,72,65,64,79,79,65,58,49,47,46,41,69,70,64,38,24,Medium,Medium,24,Right,18,Liga Hrvatska,Croatia,Dinamo Zagreb,79
73,35,Maja Sternad,72,71,70,69,72,43,67,ST,71,71,72,71,70,66,58,70,72,62,75,51,66,67,65,73,74,72,71,43,66,30,54,29,76,65,71,59,19,High,Medium,19,Right,17,GPFBL,Germany,SV Werder Bremen,60
75,35,Ross Stewart,72,75,71,58,64,30,80,ST,77,73,75,72,64,60,72,60,44,51,67,54,61,55,49,67,68,66,61,23,74,26,24,27,89,89,81,64,27,High,Medium,27,Right,18,EFL Championship,Scotland,Southampton,81
61,35,Filip Stojković,72,70,42,67,66,69,79,RB,69,71,30,65,43,36,36,64,67,60,69,70,67,70,73,68,64,66,69,67,68,68,70,71,78,83,78,76,30,High,Medium,30,Right,18,Ö. Bundesliga,Montenegro,LASK,76
40,35,Jordan Storey,72,73,33,52,57,73,74,CB,70,76,30,44,24,42,32,46,41,28,65,60,30,50,54,71,60,54,69,77,71,72,72,69,82,68,77,74,26,Medium,Medium,26,Right,18,EFL Championship,England,Preston,76
41,35,Stefan Strandberg,72,52,42,54,57,72,78,CB,50,54,36,64,35,35,51,46,38,54,66,67,34,48,63,74,63,52,67,72,70,74,72,66,75,73,84,69,33,Medium,High,33,Right,18,Eliteserien,Norway,Vålerenga Fotball,80
47,35,Róber,72,55,48,63,62,72,72,CB,57,53,49,55,39,47,50,58,52,42,74,70,42,54,61,68,71,56,67,74,68,73,72,73,72,71,75,68,28,Medium,Medium,28,Right,18,LALIGA HYPERMOTION,Spain,R. Sporting,74
65,35,Gabriel Suazo,72,72,59,67,71,66,75,LB,70,73,60,67,50,38,59,64,68,67,71,66,43,73,64,68,73,70,70,67,53,68,67,71,69,81,72,77,26,Medium,High,26,Left,17,Ligue 1 Uber Eats,Chile,Toulouse FC,72
38,35,Boško Šutalo,72,61,44,56,63,74,67,CB,62,60,38,68,40,30,47,42,62,29,65,58,41,73,52,73,64,61,57,80,66,75,74,69,70,59,69,72,23,Medium,High,23,Right,18,Liga Hrvatska,Croatia,Dinamo Zagreb,72
72,35,Morlaye Sylla,72,76,66,67,73,61,63,LM,76,76,58,78,72,55,66,65,63,65,72,66,61,65,77,66,72,76,67,66,60,55,65,60,70,81,55,58,25,Medium,Medium,25,Right,17,Liga Portugal,Guinea,Arouca,67
73,35,Tan Long,72,75,72,62,69,36,76,ST,71,78,72,75,70,64,67,62,63,58,63,58,57,68,63,67,72,68,63,39,71,36,26,29,84,74,79,67,35,Medium,Medium,35,Right,18,CSL,China PR,Changchun Yatai,77
64,35,Ao Tanaka,72,70,66,68,71,70,70,CDM,72,69,66,71,67,56,56,67,61,65,73,72,63,82,77,70,72,67,68,69,52,72,74,68,67,79,65,70,25,Medium,Medium,25,Right,17,Bundesliga 2,Japan,Düsseldorf,69
51,35,Florian Tardieu,72,40,63,70,67,68,75,CDM,44,37,62,68,66,43,73,71,67,67,73,70,65,66,71,69,69,66,64,68,65,67,69,67,63,91,67,76,31,Medium,Medium,31,Right,18,Ligue 2 BKT,France,AS Saint-Étienne,70
76,35,Cristian Tarragona,72,76,73,59,67,43,74,ST,75,76,75,76,69,55,72,59,47,67,67,53,58,80,83,74,69,60,68,37,70,43,39,35,79,72,71,83,32,High,Low,32,Right,17,Sudamericana,Argentina,Gimnasia,75
71,35,Mylaine Tarrieu,72,87,61,68,73,42,53,LM,89,86,60,65,59,59,61,67,68,58,73,61,61,83,83,69,72,71,72,41,56,43,39,34,70,64,53,35,28,High,Low,28,Right,16,D1 Arkema,France,Bordeaux,54
75,35,Júlio Tavares,72,57,72,56,66,30,85,ST,62,52,72,74,68,69,75,63,39,46,68,47,55,66,39,72,71,65,71,23,85,28,23,20,91,80,87,87,35,Low,Medium,35,Right,18,ROSHN Saudi League,Cape Verde Islands,Al Raed,86
76,35,Léandre Tawamba,72,61,72,56,66,24,81,ST,54,66,72,78,68,69,69,66,40,44,66,49,50,58,33,65,73,66,76,16,74,26,15,14,83,78,92,59,33,High,Low,33,Right,18,ROSHN Saudi League,Cameroon,Al Okhdood,95
69,35,Álvaro Tejero,72,81,64,69,71,65,69,RB,79,82,64,70,66,38,62,69,72,73,67,64,72,84,84,66,70,69,66,67,55,64,66,68,71,91,61,63,27,High,Medium,27,Right,17,LALIGA HYPERMOTION,Spain,SD Eibar,69
64,35,Aleksa Terzić,72,74,45,59,70,68,62,LB,76,72,44,45,45,31,49,42,76,43,67,49,51,70,61,68,75,70,60,61,59,70,72,70,68,69,55,70,24,Medium,Medium,24,Left,18,Ö. Bundesliga,Serbia,RB Salzburg,70
73,35,Cedric Teuchert,72,74,73,60,75,35,64,ST,76,72,76,71,70,65,70,49,62,45,68,60,63,78,75,70,74,77,62,40,67,35,27,20,76,68,66,51,26,Medium,Medium,26,Right,18,Bundesliga 2,Germany,Hannover 96,80
76,35,Mame Thiam,72,74,72,64,72,26,72,ST,72,76,74,73,68,68,63,72,65,53,66,56,56,74,64,65,72,73,71,16,72,26,20,22,76,66,77,64,31,Medium,Medium,31,Right,18,Trendyol Süper Lig,Senegal,Kayserispor,79
67,35,Jan Thielmann,72,81,69,66,72,45,66,RM,84,79,69,73,69,62,65,68,65,44,69,65,67,76,79,73,74,71,62,51,60,44,39,41,74,77,58,69,21,High,High,21,Right,17,Bundesliga,Germany,1. FC Köln,72
28,35,Romain Thomas,72,32,37,52,45,73,71,CB,33,32,30,64,28,18,50,37,42,34,65,66,39,35,39,69,63,31,70,71,76,73,74,71,76,42,84,73,35,Medium,High,35,Left,19,Ligue 2 BKT,France,SM Caen,84
52,35,Kenni Thompson,72,80,55,66,69,68,66,LB,79,80,52,61,59,42,51,49,72,69,72,66,66,76,75,71,71,66,66,70,66,66,72,60,75,75,62,62,23,High,High,23,Left,15,Liga F,Bermuda,SD Eibar,47
75,35,Berglind Björg Þorvaldsdóttir,72,72,71,56,70,36,72,ST,71,72,71,73,68,69,68,68,34,63,65,54,31,71,51,68,73,71,68,21,72,40,33,30,82,68,75,65,31,Medium,Medium,31,Right,17,D1 Arkema,Iceland,Paris SG,66
76,35,Phillip Tietz,72,68,72,56,67,33,76,ST,62,73,75,75,66,53,65,63,37,56,66,50,45,63,55,71,71,65,72,25,70,26,36,23,79,72,82,63,26,Medium,Medium,26,Right,19,Bundesliga,Germany,FC Augsburg,86
56,35,Jeremy Toljan,72,82,42,63,69,65,66,RB,81,83,39,49,38,41,39,48,73,33,70,63,61,73,70,68,72,67,58,66,49,62,71,70,69,71,65,62,29,Medium,Medium,29,Right,18,Serie A TIM,Germany,Sassuolo,74
38,35,James Tomkins,72,33,32,56,49,74,65,CB,34,32,29,40,29,28,43,54,45,31,68,60,33,30,34,71,57,44,70,72,74,74,74,73,71,32,77,77,34,Low,Medium,34,Right,19,Premier League,England,Crystal Palace,74
62,35,Daniel Torres,72,51,63,69,67,68,74,CDM,54,48,59,72,65,51,69,71,62,55,74,70,59,64,61,70,72,65,72,71,61,69,67,64,70,70,76,75,34,Medium,High,34,Right,18,Libertadores,Colombia,Indep. Medellín,78
68,35,Ibrahim Traoré,72,62,61,69,73,69,80,CDM,58,66,60,62,62,62,61,73,66,56,70,69,61,64,70,73,74,73,83,70,71,69,67,66,80,76,83,78,35,Medium,Medium,35,Right,18,Česká Liga,Côte d'Ivoire,Viktoria Plzeň,80
70,35,Miguel Trauco,72,70,57,71,74,66,74,LB,73,68,46,72,64,56,49,69,69,64,72,72,75,70,74,67,74,75,74,68,50,65,70,70,68,82,68,79,31,High,Medium,31,Left,17,MLS,Peru,SJ Earthquakes,62
57,35,Lewis Travis,72,68,59,65,69,70,76,CDM,71,66,58,69,59,43,49,65,61,42,71,68,57,61,74,71,69,69,69,68,63,70,72,72,73,88,68,84,26,Medium,High,26,Right,18,EFL Championship,England,Blackburn Rovers,63
66,35,Nicolás Tripichio,72,81,51,66,71,66,69,RB,81,81,50,59,45,43,49,62,68,47,73,62,51,78,75,65,71,70,68,72,65,64,64,65,77,82,63,68,27,Medium,Medium,27,Right,17,Sudamericana,Argentina,Defensa,68
63,35,Fran Tudor,72,88,60,65,72,67,75,RM,91,86,60,63,57,51,64,65,71,45,64,63,68,81,84,67,72,70,70,66,63,69,67,65,81,88,67,75,28,High,High,28,Right,17,PKO BP Ekstraklasa,Croatia,Raków,68
72,35,Ozan Tufan,72,75,74,71,74,70,78,CM,72,77,70,82,76,65,75,70,68,65,73,71,69,75,69,72,74,75,73,70,69,68,71,70,81,75,78,79,28,Medium,Low,28,Right,18,EFL Championship,Turkey,Hull City,88
8,35,Stefano Turati,72,71,69,68,75,35,73,GK,37,31,10,51,7,7,17,42,11,13,24,20,11,46,35,62,20,7,24,12,13,10,14,14,55,30,54,28,22,Medium,Medium,22,Right,18,Serie A TIM,Italy,Frosinone,85
58,35,Oleksandr Tymchyk,72,87,41,64,63,69,53,RB,84,89,40,59,25,31,37,62,67,34,71,60,56,72,70,67,62,61,64,74,58,69,72,65,63,70,44,52,26,High,High,26,Right,18,Ukrayina Liha,Ukraine,Dynamo Kyiv,67
61,35,Christy Ucheibe,72,71,51,59,65,75,69,CDM,72,71,51,49,54,36,43,64,40,37,72,58,58,61,61,68,72,62,65,76,71,72,80,75,79,78,68,60,22,Medium,Medium,22,Right,17,Liga Portugal Feminino,Nigeria,SL Benfica,64
70,35,Andreas Ulmer,72,67,62,69,72,70,68,LB,66,67,53,73,72,70,50,64,72,70,70,67,73,73,80,67,74,70,75,70,57,74,69,69,68,72,69,62,38,High,Medium,38,Left,17,Ö. Bundesliga,Austria,RB Salzburg,73
29,35,Filip Uremović,72,71,30,47,53,71,73,CB,59,80,24,45,26,31,44,33,28,28,67,53,33,55,60,68,60,43,65,70,67,70,74,75,74,65,77,75,26,Medium,Medium,26,Right,18,Liga Hrvatska,Croatia,Hajduk Split,81
66,35,Nuno Santos,72,80,69,69,72,67,69,CM,80,80,67,75,72,61,62,71,60,60,72,74,64,67,72,74,72,72,72,66,54,66,72,70,72,79,69,56,24,High,Medium,24,Right,17,Liga Portugal,Portugal,Vitória SC,73
21,35,Nicolás Valentini,72,73,32,54,63,72,74,CB,72,73,28,44,31,32,38,60,27,34,69,62,28,62,71,69,64,60,70,70,68,73,73,74,86,73,74,72,22,Medium,High,22,Left,18,Libertadores,Argentina,Boca Juniors,74
73,35,Alex Valera,72,67,74,52,67,28,76,ST,66,67,76,75,70,68,68,50,34,55,64,48,55,63,70,69,72,66,58,57,70,12,15,15,80,72,82,65,27,High,Low,27,Left,18,Sudamericana,Peru,Universitario,83
52,35,Sepp van den Berg,72,66,34,62,64,72,73,CB,52,77,29,45,31,31,40,62,61,26,69,64,38,56,52,69,68,63,64,71,70,72,73,70,72,69,76,70,21,Medium,Medium,21,Right,19,Bundesliga,Holland,1. FSV Mainz 05,87
32,35,Siebe Van der Heyden,72,58,34,57,53,73,74,CB,54,61,27,47,38,23,36,49,57,32,67,62,35,59,59,69,59,44,62,74,71,72,75,73,74,75,72,79,25,Medium,High,25,Left,18,LALIGA EA SPORTS,Belgium,RCD Mallorca,76
46,35,Mike van der Hoorn,72,63,46,51,49,72,77,CB,51,73,43,72,31,26,40,37,41,31,64,66,35,34,36,70,52,48,67,70,81,72,72,69,77,69,84,68,31,Medium,Medium,31,Right,19,Eredivisie,Holland,FC Utrecht,85
73,35,Marco van Ginkel,72,53,70,73,71,68,69,CM,51,55,69,70,69,70,81,72,69,67,77,76,65,65,62,68,75,70,78,63,71,70,70,67,75,69,76,52,31,Medium,Medium,31,Right,18,Eredivisie,Holland,Vitesse,82
75,35,Sydney van Hooijdonk,72,72,74,57,65,27,73,ST,73,71,76,77,70,67,74,56,50,73,62,47,74,64,55,70,66,66,57,17,68,27,22,17,81,67,78,65,23,Medium,Low,23,Right,18,Serie A TIM,Holland,Bologna,81
76,35,Ricky van Wolfswinkel,72,65,72,68,69,44,71,ST,63,66,74,73,67,69,75,70,66,59,72,64,69,61,65,75,71,69,73,48,69,45,38,26,76,68,76,61,34,Medium,Medium,34,Right,18,Eredivisie,Holland,FC Twente,72
71,35,Matías Vargas,72,83,68,69,75,40,71,RW,81,85,66,73,67,61,68,70,68,73,70,65,74,86,86,68,68,76,75,40,45,41,39,32,69,83,68,64,26,High,Medium,26,Right,16,CSL,Argentina,Shanghai Port,66
44,35,Lorenzo Venuti,72,70,26,61,67,68,63,RB,74,67,24,28,25,34,22,48,73,26,67,60,60,71,75,66,72,63,65,69,58,69,70,70,64,77,53,68,28,Medium,Medium,28,Right,17,Serie A TIM,Italy,Lecce,66
73,35,Benjamin Verbič,72,81,70,66,75,44,68,LW,83,79,70,72,69,65,64,68,57,63,72,66,63,78,78,69,75,76,70,36,65,48,40,35,79,65,67,71,30,High,Medium,30,Right,17,Hellas Liga,Slovenia,Panathinaikos,72
68,35,Daniele Verde,72,77,74,69,77,36,47,RM,79,75,70,83,80,60,71,70,70,77,67,63,85,89,92,67,76,76,70,24,46,41,37,35,51,64,33,58,27,Medium,Medium,27,Left,16,Serie BKT,Italy,Spezia,63
51,35,Arthur Vermeeren,72,67,53,70,73,67,64,CDM,69,65,48,62,59,30,60,76,57,48,78,74,61,77,75,63,74,71,76,73,47,69,68,64,58,84,55,65,18,Medium,High,18,Right,17,1A Pro League,Belgium,Royal Antwerp FC,63
66,35,Yorbe Vertessen,72,93,69,65,72,33,69,RW,94,93,72,72,64,58,63,62,65,60,69,61,68,74,72,67,72,73,64,17,65,45,26,22,78,62,74,61,22,Medium,Medium,22,Right,17,Eredivisie,Belgium,PSV,71
70,35,Hugo Vetlesen,72,79,67,68,74,61,63,CAM,81,78,69,65,68,58,57,71,64,58,71,66,66,92,84,68,73,71,68,65,50,59,64,62,65,84,54,60,23,High,Medium,23,Right,17,1A Pro League,Norway,Club Brugge,72
24,35,Francesco Vicari,72,35,27,52,46,74,66,CB,35,35,21,44,21,30,35,41,32,28,74,61,23,45,42,68,56,36,62,68,72,74,77,76,71,36,79,68,29,Low,High,29,Right,19,Serie BKT,Italy,Bari,80
63,35,Emanuel Vignato,72,70,62,72,76,39,47,CAM,75,66,61,61,68,59,55,73,65,61,76,73,69,78,75,67,76,77,66,30,51,43,37,35,54,63,42,39,23,Medium,Low,23,Right,17,Serie BKT,Italy,Pisa,67
77,35,Bruna,72,82,71,61,76,33,59,ST,79,85,77,59,74,70,54,70,46,51,70,51,63,75,54,77,75,79,71,43,54,34,21,23,66,66,55,56,21,High,Medium,21,Left,16,Liga F,Spain,FC Barcelona,59
56,35,Viviana Villacorta,72,63,55,64,69,69,69,CDM,66,61,56,54,57,49,52,73,40,51,75,71,47,65,62,69,75,67,68,68,57,70,73,63,68,71,68,68,24,Medium,Medium,24,Right,17,NWSL,United States,Orlando Pride,62
70,35,Héctor Villalba,72,87,71,65,76,45,63,LM,83,90,65,83,73,70,63,66,64,55,67,61,69,92,83,72,71,76,69,38,60,44,52,30,73,73,56,67,29,High,Medium,29,Left,17,Libertadores,Paraguay,Libertad,76
31,35,Mattia Viti,72,70,35,50,53,74,71,CB,67,73,26,56,32,33,40,39,35,29,67,57,42,60,52,68,60,45,63,72,74,73,75,73,80,67,73,68,21,Medium,Medium,21,Left,19,Serie A TIM,Italy,Sassuolo,82
71,35,Selina Vobian,72,69,65,65,74,42,57,CAM,70,69,70,55,69,35,68,62,48,45,78,72,55,61,90,70,79,74,61,42,32,27,56,59,52,62,57,53,21,Medium,Medium,21,Right,16,GPFBL,Germany,SC Freiburg,59
76,35,Laura Vogt,72,67,62,65,71,56,55,CM,70,64,61,59,68,37,61,70,44,55,73,68,66,63,67,72,76,71,63,70,49,31,70,69,53,72,45,57,22,Medium,Medium,22,Right,16,GPFBL,Germany,1. FC Köln,57
70,35,Mërgim Vojvoda,72,71,54,72,72,68,70,LM,70,72,44,69,62,50,35,70,78,58,74,71,68,71,58,74,72,73,68,68,62,66,69,72,72,71,70,70,28,Medium,Medium,28,Right,18,Serie A TIM,Kosovo,Torino,78
70,35,Patrik Wålemark,72,75,68,67,75,32,63,RW,77,73,70,68,69,55,49,70,67,64,68,60,73,84,69,63,74,76,65,35,36,33,29,23,53,74,64,50,22,Medium,Medium,22,Left,18,Eredivisie,Sweden,sc Heerenveen,73
67,35,Marcelo Weigandt,72,79,47,59,70,68,75,RB,77,81,40,59,42,62,40,52,63,32,66,52,65,73,76,70,68,69,69,66,62,66,73,69,79,76,73,79,23,High,Medium,23,Right,17,Libertadores,Argentina,Boca Juniors,72
66,35,Gaëtan Weissbeck,72,66,70,72,75,46,68,CAM,64,68,68,77,74,58,67,70,66,78,75,70,77,79,75,65,76,76,68,29,47,38,63,50,62,79,69,53,26,Medium,Medium,26,Right,17,Ligue 2 BKT,France,Bordeaux,70
20,35,Timon Wellenreuther,72,73,69,66,74,53,67,GK,52,54,9,50,11,10,23,44,9,14,32,27,12,45,54,71,27,16,52,23,18,10,11,9,71,31,71,19,28,Medium,Medium,28,Right,18,Eredivisie,Germany,Feyenoord,80
