Player Name,Rank,OVR,PAC,SHO,PAS,DRİ,DEF,PHY,Acceleration,Sprint Speed,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Shot Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Detailed Dribbling,Composure,Interception,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
Maurício,1900,75,66,70,73,74,73,71,65,67,65,74,76,70,69,66,65,77,79,78,77,68,69,69,77,74,74,71,67,74,75,73,74,67,73,69
Patson Daka,1900,75,882,762,591,761,262,691,87,88,78,75,70,76,75,53,51,54,66,61,65,79,72,78,77,75,69,20,64,18,28,16,80,73,68,63
Thijs Dallinga,1900,75,731,755,634,694,271,663,71,74,79,75,68,67,69,72,49,43,72,57,58,53,65,74,72,69,76,21,74,20,24,23,79,76,70,42
Deja Davis,1900,75,52,49,52,63,76,79,64,42,46,63,39,38,70,44,41,36,64,59,45,38,52,72,68,65,63,76,79,75,78,73,86,78,82,71
Pedro De la Vega,1900,75,82,733,69,75,50,721,81,83,73,77,75,66,66,67,73,68,72,64,59,83,76,76,73,75,73,50,71,46,47,49,82,80,66,75
Dani de Wit,1900,75,586,762,721,70,733,882,66,52,77,79,74,67,66,76,61,52,79,76,55,58,68,80,75,68,77,66,84,73,73,71,82,94,83,92
Léa Declercq,1900,75,65,69,74,74,72,74,61,68,69,71,73,55,60,69,72,81,78,73,68,69,78,69,76,74,72,74,51,74,76,70,66,81,72,70
Brecht Dejaegere,1900,75,673,699,744,754,704,722,69,66,70,70,68,67,60,76,72,67,77,72,69,76,77,75,75,74,76,71,54,72,72,68,66,82,66,74
Kate Del Fava,1900,75,71,49,69,69,74,69,72,71,48,54,49,43,41,63,70,51,75,66,66,62,59,74,74,68,67,73,66,75,74,76,74,75,68,61
Ermedin Demirović,1900,75,721,763,709,765,418,751,69,74,77,83,68,74,65,73,68,43,74,64,73,70,72,77,78,77,73,36,68,38,39,42,77,71,76,76
Diego Demme,1900,75,533,47,74,75,712,711,60,47,39,62,41,48,58,74,70,62,78,76,65,75,87,71,78,72,73,73,57,72,72,70,64,82,63,79
Jason Denayer,1900,75,69,42,64,65,76,76,66,72,41,55,36,35,39,65,52,29,74,70,52,64,61,72,67,62,77,78,75,75,76,75,82,71,78,74
Leander Dendoncker,1900,75,61,69,751,701,761,801,52,69,62,83,73,68,55,71,73,68,78,77,71,54,54,72,76,71,77,76,77,74,78,75,82,74,85,74
Emmanuel Dennis,1900,75,852,741,62,761,38,692,84,85,76,81,68,69,56,54,67,62,65,58,62,87,78,76,74,75,69,13,75,38,45,27,85,64,70,68
Cyriel Dessers,1900,75,732,751,56,71,29,75,71,75,78,79,68,70,66,58,44,47,66,55,45,70,64,78,72,70,75,17,72,42,16,14,86,72,83,56
Federico Di Francesco,1900,75,791,691,73,782,39,582,82,76,67,71,68,69,69,68,77,69,76,67,78,80,78,69,78,80,74,34,40,44,38,36,62,67,59,42
Bafodé Diakité,1900,75,7611,413,638,7014,734,742,71,80,32,62,34,39,48,57,66,36,72,61,52,69,65,72,73,68,66,74,68,74,73,74,77,78,73,69
Krépin Diatta,1900,75,91,69,66,782,47,67,90,91,68,73,72,68,59,69,66,58,68,64,62,89,76,70,75,79,70,48,62,55,32,50,78,84,61,57
Damián Díaz,1900,75,683,721,771,761,44,691,69,68,74,71,70,60,79,81,70,78,79,75,71,74,72,67,76,77,75,42,48,57,34,33,64,78,69,58
Enzo Díaz,1900,75,73,49,691,72,732,821,74,73,38,63,52,49,47,73,70,51,72,69,49,73,74,71,71,73,75,72,66,74,76,73,82,83,81,84
Víctor Díaz,1900,75,691,56,68,651,752,761,69,69,56,67,54,35,42,65,77,51,72,55,65,60,52,73,71,62,64,74,75,74,77,76,81,80,75,74
Junior Dina Ebimbe,1900,75,832,60,714,752,692,761,84,83,58,71,57,51,57,71,65,49,78,71,59,77,74,74,77,75,70,74,59,70,70,61,81,80,76,70
Ousmane Diomande,1900,75,70,26,52,70,74,77,67,72,20,40,22,24,39,37,28,24,72,74,25,63,65,73,72,71,64,68,70,76,77,75,81,60,86,75
Matías Dituro,1900,75,74,72,77,77,38,74,32,48,12,58,16,19,20,67,13,17,58,53,12,40,32,74,40,17,68,21,12,18,12,18,63,42,72,20
Matt Doherty,1900,75,68,65,712,721,731,741,69,67,64,76,63,46,48,70,77,45,74,71,64,66,67,75,75,71,71,72,74,72,74,72,79,77,72,75
Josh Doig,1900,75,827,639,689,719,684,755,78,85,62,66,66,58,37,63,75,45,72,63,66,71,71,63,71,74,60,67,67,62,72,72,80,84,72,71
Kasper Dolberg,1900,75,765,773,661,742,30,671,66,84,76,80,76,76,77,71,50,70,74,60,74,70,63,71,76,75,73,23,74,28,24,19,82,68,79,32
Léo Duarte,1900,75,572,36,49,601,763,783,60,55,31,54,27,30,48,30,42,27,67,56,30,64,62,74,62,55,72,76,65,77,76,79,75,72,79,83
Rubén Duarte,1900,75,642,38,661,68,762,703,66,62,28,54,43,34,40,44,76,62,75,65,60,64,65,72,74,64,65,76,74,77,76,77,78,67,71,70
Odsonne Edouard,1900,75,763,741,68,781,45,732,74,78,76,78,69,64,76,74,58,77,73,58,75,75,72,69,78,79,80,39,72,44,46,28,85,71,79,55
Maximilian Eggestein,1900,75,59,63,70,73,721,751,63,55,59,77,63,50,60,68,67,48,76,73,64,70,69,77,75,72,75,74,65,70,76,72,73,84,73,70
Chidera Ejuke,1900,75,902,70,661,80,44,65,94,86,69,73,72,59,62,69,67,64,67,60,67,90,94,70,73,83,64,33,44,40,55,41,70,74,64,54
Hugo Ekitike,1900,75,722,75,60,751,25,69,72,72,80,76,69,61,63,63,51,48,68,53,58,68,68,75,76,77,73,18,73,24,17,16,81,67,72,61
Aschraf El Mahdioui,1900,75,727,52,734,712,686,747,76,69,41,66,66,53,44,72,63,65,78,76,71,75,68,74,75,68,74,73,44,69,72,67,58,90,70,70
Jawad El Yamiq,1900,75,86,48,52,62,751,80,84,87,40,67,52,30,41,37,38,32,66,72,36,68,56,74,61,60,68,77,75,74,75,71,92,74,84,74
Mohamed Elneny,1900,75,524,63,71,70,721,703,52,52,57,78,69,39,62,69,64,56,77,75,69,65,62,74,74,68,75,74,61,73,73,72,65,71,68,73
Edu Expósito,1900,75,655,743,741,761,711,703,66,64,73,76,78,62,70,77,65,63,77,76,75,75,74,75,76,77,74,73,53,72,74,73,64,76,65,74
Paulo Vítor,1900,75,779,746,739,767,24,735,23,25,10,55,15,10,19,45,11,13,19,18,16,35,28,65,16,13,57,19,14,20,12,14,50,26,64,37
Rasmus Falk,1900,75,734,563,72,80,662,677,75,72,53,60,51,64,52,75,62,49,78,75,63,86,86,76,79,79,80,70,45,70,68,65,61,86,58,67
Facundo Farías,1900,75,86,72,681,83,39,70,91,82,69,82,69,71,74,68,64,49,73,70,69,90,91,72,80,83,80,29,63,33,43,37,74,71,69,72
Hélène Fercocq,1900,75,57,47,64,64,77,76,45,67,44,57,48,38,45,64,47,44,76,65,55,60,51,73,69,62,66,74,76,77,78,77,75,81,75,73
Charlotte Fernandes,1900,75,62,53,68,67,73,67,60,64,47,71,49,43,52,59,75,46,76,59,61,57,69,75,75,63,68,80,63,72,73,75,67,71,62,73
Jean,1900,75,74,75,68,78,29,76,28,31,10,51,10,6,66,44,13,64,27,29,62,41,67,61,22,13,28,14,13,14,11,11,59,20,65,18
Nicolás Fernández,1900,75,861,756,632,771,391,65,90,82,78,71,74,70,75,68,60,59,68,50,57,85,87,75,75,77,72,38,72,32,39,25,81,75,57,70
Guillermo Fernández,1900,75,692,67,732,76,65,66,68,69,64,71,69,65,59,74,65,69,78,75,73,77,70,74,78,75,78,73,45,65,67,66,61,76,63,60
Álex Fernández,1900,75,494,701,80,73,67,63,59,41,69,68,77,45,85,79,77,76,84,78,81,79,71,78,79,67,77,65,58,68,72,66,61,75,57,64
Joaquín,1900,75,622,45,611,55,74,791,60,64,44,56,37,39,47,65,46,40,72,64,46,47,33,74,64,49,68,75,74,73,75,73,82,70,84,78
Mélissa Gomes,1900,75,79,76,70,79,43,64,84,74,75,77,78,69,72,70,65,70,76,64,72,84,76,74,78,80,80,34,72,39,45,34,79,70,58,67
Alexis Flips,1900,75,722,702,724,752,452,633,73,72,72,69,69,60,65,74,71,64,75,70,70,71,77,75,74,77,70,46,53,39,49,44,66,68,61,59
Alessandro Florenzi,1900,75,733,761,781,781,74,565,76,71,71,82,81,84,73,80,75,71,80,76,71,86,82,75,81,75,79,76,68,75,74,69,67,63,48,66
Wes Foderingham,1900,75,751,71,731,76,44,741,46,40,13,55,15,13,14,60,21,14,49,46,20,62,42,70,28,12,53,19,20,12,20,11,70,34,71,30
Gabriel Veron,1900,75,862,671,68,79,28,522,85,86,71,63,66,58,64,67,67,50,72,69,62,84,68,70,79,81,70,34,40,23,23,29,62,55,55,40
Airine Fontaine,1900,75,73,71,69,77,41,61,77,69,71,68,77,61,57,69,72,55,74,63,58,77,59,72,80,78,69,37,46,44,41,35,66,66,63,49
Taxiarchis Fountas,1900,75,88,761,66,76,47,661,91,86,78,75,74,73,60,68,63,69,68,60,72,91,91,75,72,75,73,56,67,44,40,37,77,75,57,72
Ana Franco,1900,75,78,77,70,75,45,65,76,79,85,70,70,69,72,70,69,71,76,60,69,75,71,65,80,75,67,45,55,35,50,45,71,66,66,60
Marvin Friedrich,1900,75,621,41,57,512,781,733,54,68,39,58,35,35,38,59,43,26,65,68,39,53,52,74,57,43,68,75,78,73,83,80,73,63,79,70
Unai García,1900,75,608,421,622,573,773,751,59,60,39,58,35,27,42,53,56,47,75,70,31,58,62,65,70,45,67,74,78,76,78,77,80,80,74,72
Eric García,1900,75,62,44,692,671,761,71,55,68,42,51,44,31,44,68,54,31,81,79,65,64,56,74,72,64,79,75,75,76,77,76,75,65,72,76
Falcao,1900,75,474,77,67,74,41,661,54,42,78,75,73,77,81,63,55,70,76,60,78,70,78,78,77,72,79,41,83,32,42,19,78,53,69,73
Alejandro Garnacho,1900,75,84,69,65,77,33,58,86,83,70,74,67,58,56,68,68,61,69,47,75,85,87,76,75,77,71,38,44,28,35,24,61,67,50,64
Dennis Geiger,1900,75,467,53,762,79,632,624,56,38,46,57,70,45,40,79,69,55,81,78,68,85,83,79,81,77,74,69,29,67,66,67,42,78,49,81
Lautaro Giannetti,1900,75,692,34,562,561,761,771,66,72,31,49,29,27,39,57,35,28,73,59,33,53,55,69,66,47,66,79,69,78,76,75,79,72,82,70
Andrei Girotto,1900,75,535,652,662,663,772,73,61,46,55,81,80,51,55,54,65,71,73,69,63,63,53,73,73,63,66,78,77,76,77,76,79,70,71,80
Ben Godfrey,1900,75,82,44,601,65,742,782,72,90,35,53,55,40,44,56,56,33,70,65,43,65,64,72,68,62,68,71,73,73,76,78,85,69,80,81
Léna Goetsch,1900,75,76,46,65,65,73,69,74,78,43,59,41,45,49,53,70,44,73,61,61,69,71,70,66,62,65,75,62,74,75,72,72,84,64,63
Connor Goldson,1900,75,69,50,62,65,751,82,68,69,53,62,35,35,47,62,46,34,72,75,42,57,54,72,68,65,72,72,80,75,74,74,81,79,86,76
Derlis González,1900,75,821,761,721,792,44,64,84,81,78,75,74,73,74,69,67,68,77,70,70,90,81,73,77,79,70,34,59,42,51,33,73,81,59,51
Érika González,1900,75,78,75,71,75,48,50,78,78,80,68,77,57,67,71,67,57,78,66,59,73,71,66,77,78,61,51,45,46,50,44,60,62,51,31
Anthony Gordon,1900,75,888,69,72,75,37,62,86,90,68,74,72,48,65,68,75,75,73,66,76,72,65,68,76,77,65,31,49,34,40,33,67,73,56,62
Jeffrey Gouweleeuw,1900,75,663,58,66,64,77,751,66,66,46,72,76,49,42,71,60,54,68,76,45,65,64,76,66,60,74,80,71,78,77,75,73,68,77,77
Kamil Grabara,1900,75,761,753,723,762,42,751,42,42,15,54,16,14,24,57,18,24,48,46,20,45,48,65,32,19,56,23,24,25,19,18,70,38,71,36
Ivo Grbić,1900,75,761,711,741,761,324,73,34,28,9,56,7,8,19,42,14,13,35,32,20,30,24,71,21,15,33,15,11,13,13,12,64,27,73,27
Clément Grenier,1900,75,364,73,79,74,62,681,34,37,67,82,78,71,73,79,77,80,80,79,79,64,71,69,77,75,74,62,68,62,63,51,63,66,71,63
Hugo Guillamón,1900,75,553,532,693,64,751,701,58,53,55,57,48,45,68,69,58,53,78,76,53,62,67,73,71,59,67,74,72,76,76,75,72,74,67,74
Mert Günok,1900,75,731,752,753,744,56,771,55,57,15,56,15,16,16,51,15,16,40,47,16,53,50,70,25,15,56,25,14,22,13,12,69,39,68,35
Emmanuel Gyasi,1900,75,825,631,661,751,443,735,84,81,64,66,58,50,61,69,71,39,71,54,62,75,76,76,76,75,67,38,52,44,46,43,76,84,73,57
Viktor Gyökeres,1900,75,805,721,63,763,323,859,74,85,75,73,69,68,63,64,61,59,68,52,70,70,77,73,76,78,72,28,68,34,25,16,85,84,89,76
Janik Haberer,1900,75,63,674,722,752,631,711,62,63,63,77,67,64,61,76,59,55,79,75,69,68,59,77,78,76,71,73,54,61,64,58,64,78,67,73
Amir Hadžiahmetović,1900,75,712,60,711,72,712,773,72,70,52,72,68,50,55,70,66,61,75,74,64,70,70,70,75,72,71,72,63,70,74,69,69,86,75,73
Antonia-Johanna Halverkamps,1900,75,73,67,72,71,61,69,73,73,72,62,64,56,59,72,71,59,77,70,63,53,57,71,74,76,62,58,38,65,64,69,62,69,70,68
Tarek Hamed,1900,75,642,58,661,672,74,835,67,61,53,68,61,49,65,64,59,61,71,70,58,68,78,71,67,66,67,77,65,73,76,77,76,88,78,91
Gustavo Hamer,1900,75,69,701,761,72,732,77,71,68,67,76,75,66,60,77,74,73,76,79,74,77,86,73,73,68,72,76,70,73,72,68,76,82,70,87
Kristen Hamilton,1900,75,78,75,66,73,42,69,76,79,77,72,75,71,72,67,63,66,71,62,54,76,81,81,76,68,82,45,61,37,39,36,77,66,71,66
Andreas Hanche-Olsen,1900,75,737,381,551,634,753,814,68,77,35,51,32,31,38,45,58,29,62,59,42,66,66,74,60,62,74,75,75,75,78,70,84,74,81,87
Guilherme Sityá,1900,75,802,621,755,731,67,77,81,79,58,66,68,47,71,68,82,74,75,72,75,79,75,69,74,72,70,68,54,70,69,67,78,86,78,63
Lina Hausicke,1900,75,68,66,73,71,71,68,65,71,67,68,66,58,63,71,66,67,76,78,70,64,71,74,75,70,67,73,55,74,73,69,65,74,63,73
Matheus Henrique,1900,75,731,60,761,792,57,631,78,68,56,64,61,59,61,77,69,60,80,82,65,82,73,74,81,79,72,52,50,63,57,60,65,78,55,66
Gastón Hernández,1900,75,68,37,52,59,76,72,69,68,39,43,26,38,46,36,26,33,75,68,30,59,59,75,68,50,60,78,69,77,77,75,74,71,70,76
Luís Hernández,1900,75,622,50,641,651,741,783,61,62,37,70,57,53,54,55,67,42,71,68,57,63,68,77,70,59,73,78,72,77,70,75,81,71,81,76
Daniel Heuer Fernandes,1900,75,751,701,772,783,43,733,42,44,11,58,9,7,19,51,7,12,43,45,13,39,33,73,26,20,28,16,10,12,16,11,63,43,69,25
Isak Hien,1900,75,736,374,497,562,759,784,67,78,30,49,39,33,45,49,28,25,62,58,29,49,47,73,61,54,58,76,71,77,76,70,85,54,89,80
Philipp Hofmann,1900,75,521,74,552,652,384,833,41,61,76,83,64,68,62,66,35,39,69,44,48,46,36,75,73,65,75,30,84,26,40,33,84,63,93,81
Shelby Hogan,1900,75,78,73,76,73,44,71,44,45,10,57,15,8,24,32,12,9,27,30,11,48,41,75,16,10,34,9,12,12,12,9,64,35,68,14
Ceri Holland,1900,75,78,71,71,76,67,71,78,78,71,77,70,66,52,74,70,55,74,70,68,70,77,76,78,76,66,74,54,56,74,73,74,79,72,60
Emma Holmgren,1900,75,77,76,69,77,50,72,51,49,12,52,11,14,23,41,13,19,32,31,13,53,53,69,21,14,37,21,17,19,19,18,65,31,59,28
Sophie Howard,1900,75,54,39,60,55,76,68,53,54,26,63,45,28,50,40,57,47,77,65,40,51,73,71,68,42,59,79,78,76,75,72,77,52,72,77
Patrik Hrošovský,1900,75,643,711,74,761,70,682,68,60,68,75,74,75,66,69,74,68,78,77,68,76,82,74,77,74,77,73,57,71,73,69,64,90,57,69
Callum Hudson-Odoi,1900,75,783,671,731,793,48,59,86,71,70,67,66,59,55,72,75,71,74,69,76,83,78,67,78,80,72,44,53,47,51,45,70,65,58,51
Jordyn Huitema,1900,75,79,75,66,72,40,61,78,79,79,71,69,68,70,66,58,63,74,65,55,77,34,75,79,71,69,37,65,38,38,37,79,56,72,37
Tori Huster,1900,75,72,55,66,69,74,65,70,73,47,71,60,50,42,44,75,56,74,68,71,62,73,72,73,67,68,73,71,78,71,75,75,71,63,59
Marcus Ingvartsen,1900,75,64,792,66,74,38,72,67,61,80,79,77,74,82,73,63,55,69,56,78,68,71,77,76,75,72,29,68,35,38,30,75,76,74,61
Hiroki Ito,1900,75,813,562,672,683,763,743,81,81,48,72,64,45,47,61,66,45,72,80,45,66,64,78,71,66,72,75,68,78,78,75,84,72,76,68
Mauro Júnior,1900,75,84,66,75,79,671,561,83,84,62,68,69,65,68,75,75,74,76,72,75,90,81,72,79,79,71,70,58,68,69,65,53,82,35,76
Iván Jaime,1900,75,742,733,714,763,511,643,76,73,73,73,77,68,67,72,68,65,73,70,70,70,65,73,79,78,73,53,60,47,52,48,74,68,68,44
Kristijan Jakić,1900,75,684,611,65,69,721,811,76,61,52,79,70,60,49,66,53,45,73,75,41,64,74,72,76,65,69,72,69,70,74,72,82,86,78,82
Daniel James,1900,75,932,691,663,742,461,635,94,93,70,73,65,58,64,63,71,54,68,58,73,83,82,76,74,72,58,42,50,52,45,34,68,73,52,79
Emmy Jézéquel,1900,75,69,44,60,66,76,75,61,76,42,56,41,38,40,41,52,39,78,62,61,59,69,72,71,64,63,73,71,76,79,75,77,76,74,74
Celia Jiménez,1900,75,67,47,66,68,76,79,65,68,44,53,48,39,45,68,65,41,69,65,61,70,60,73,72,66,68,74,68,79,76,78,79,75,84,73
Fali,1900,75,466,53,68,59,741,87,42,50,40,72,70,33,47,74,63,67,70,68,58,43,67,66,67,54,63,65,77,75,78,74,80,80,90,90
Alistair Johnston,1900,75,823,576,683,702,724,839,80,83,55,68,53,34,49,72,70,37,70,67,66,76,70,74,70,68,70,69,61,75,74,71,83,85,81,85
Christopher Jullien,1900,75,613,50,62,56,741,784,60,62,54,64,32,28,55,63,51,36,72,71,38,36,33,64,67,54,67,70,82,72,76,70,88,60,85,81
Jutglà,1900,75,763,757,658,776,291,7616,79,74,77,75,72,73,73,67,65,62,70,50,67,79,84,77,78,76,73,21,67,22,29,25,83,73,78,74
Ozan Kabak,1900,75,634,371,596,661,743,80,52,72,35,48,30,28,51,65,26,31,76,74,32,64,64,66,71,64,67,68,76,73,77,73,81,67,84,85
Pavel Kadeřábek,1900,75,722,451,702,702,72,762,75,69,34,64,41,57,54,71,76,52,72,68,57,66,67,75,73,69,73,69,74,70,71,80,84,77,76,74
İrfan Can Kahveci,1900,75,731,721,781,782,58,661,74,73,67,80,81,69,58,78,78,78,79,76,83,77,82,67,80,79,75,62,52,56,61,56,60,68,64,69
Lukáš Kalvach,1900,75,644,64,731,73,721,781,66,63,59,70,69,59,61,70,68,73,76,76,69,72,76,75,73,72,78,73,69,73,72,72,77,82,76,77
Jakub Kamiński,1900,75,854,672,675,786,47,581,87,83,71,64,67,46,52,73,68,48,68,59,68,86,71,63,78,80,63,47,68,43,45,42,74,74,54,44
Johanna Kaneryd,1900,75,82,69,69,79,48,64,80,84,71,70,67,61,62,72,72,56,72,59,71,70,69,70,81,83,65,35,50,56,50,44,68,76,60,58
Marc-Oliver Kempf,1900,75,751,42,56,62,751,781,72,77,31,64,46,30,52,52,43,39,64,70,36,64,64,68,64,59,71,77,76,74,76,74,88,66,81,81
Milos Kerkez,1900,75,823,536,666,735,699,747,85,79,53,55,50,52,46,67,73,42,69,59,54,83,82,69,71,73,65,70,62,68,69,72,70,89,65,79
Franziska Kett,1900,75,72,68,72,75,51,63,69,74,71,60,70,59,56,74,76,59,76,59,64,69,61,76,78,77,65,46,49,52,52,54,64,54,68,62
Thembi Kgatlana,1900,75,87,74,68,76,41,65,85,89,76,72,73,69,74,62,68,66,74,62,63,89,83,72,75,74,70,38,71,34,41,35,86,61,71,51
Joshua King,1900,75,812,75,711,76,38,762,77,85,75,77,73,73,76,73,68,54,75,65,72,77,73,70,76,77,75,34,68,33,38,27,84,68,81,70
Virginia Kirchberger,1900,75,75,48,65,68,75,74,78,73,45,67,36,45,62,61,44,60,79,71,48,80,72,81,70,61,74,74,69,79,75,73,81,74,73,73
Tim Kleindienst,1900,75,67,764,572,663,33,832,59,73,77,77,76,69,66,57,50,51,63,53,54,51,52,76,74,64,78,28,78,29,29,22,85,89,86,68
Ansgar Knauff,1900,75,861,631,691,77,51,602,88,84,64,66,62,61,41,71,71,43,75,58,68,79,76,72,76,80,65,52,48,55,48,44,67,72,55,54
Sekou Koita,1900,75,931,742,697,771,35,743,92,93,74,75,73,73,71,74,63,58,73,66,70,91,91,76,73,76,73,32,60,30,37,27,83,75,72,73
Ondřej Kolář,1900,75,75,741,792,751,449,774,40,50,7,59,8,6,15,51,13,14,40,41,13,30,24,66,31,19,70,11,11,17,12,14,65,25,71,16
Eva Kouache,1900,75,79,49,63,67,70,61,82,77,49,57,42,39,40,52,67,38,72,58,64,68,73,65,72,64,61,74,63,69,70,74,70,88,51,51
Cheikhou Kouyaté,1900,75,57,64,63,67,75,81,50,63,63,74,63,50,52,67,53,47,71,66,39,60,52,75,71,66,72,73,72,76,78,73,78,75,83,83
Rasmus Kristensen,1900,75,6911,67,674,702,73,775,63,74,64,75,67,63,62,66,74,56,68,64,64,65,64,75,70,72,69,73,73,73,74,72,78,85,74,74
Grzegorz Krychowiak,1900,75,419,732,693,662,732,802,42,41,68,81,78,75,75,69,62,62,75,74,54,34,50,74,73,67,78,73,72,72,74,70,68,76,84,80
Lukas Kübler,1900,75,783,471,601,684,73,757,71,83,44,56,43,50,58,49,70,27,70,54,46,66,67,73,69,67,64,74,61,74,75,77,77,73,77,73
Emma Kullberg,1900,75,71,37,65,65,77,67,68,74,39,41,30,33,47,37,74,42,79,67,59,71,75,77,69,59,59,75,71,80,77,74,75,65,65,74
Marash Kumbulla,1900,75,472,32,53,56,77,752,38,54,26,50,31,28,30,54,45,26,61,58,30,51,58,78,60,52,63,75,79,79,77,73,75,68,78,75
Kaleigh Kurtz,1900,75,63,43,54,58,78,70,60,65,38,54,44,35,41,38,41,39,70,62,44,52,59,75,63,54,67,80,74,79,79,76,78,66,75,58
Daler Kuzyaev,1900,75,78,66,74,75,72,66,76,79,61,74,71,57,63,71,67,63,81,76,60,79,76,73,76,75,68,74,55,71,76,75,68,76,59,72
Daniel-Kofi Kyereh,1900,75,801,72,66,811,24,611,88,74,77,71,67,69,52,71,58,60,72,60,60,90,86,74,78,82,65,24,59,24,15,17,74,78,58,44
Stefan Lainer,1900,75,722,621,67,691,741,782,75,69,59,71,65,63,45,60,70,45,70,70,65,75,78,72,69,66,74,76,63,74,75,73,77,85,72,84
Tariq Lamptey,1900,75,852,44,66,771,70,512,90,81,47,48,36,32,40,59,76,35,72,62,60,85,95,73,71,77,73,71,54,70,73,75,60,61,35,75
Gianluca Lapadula,1900,75,742,731,601,74,3915,736,72,76,76,75,63,77,73,63,50,67,69,47,62,81,81,78,73,72,71,29,74,35,39,35,79,72,68,84
Cyle Larin,1900,75,713,751,65,691,28,78,67,74,78,80,70,61,63,67,69,50,70,47,66,63,48,73,70,71,65,22,75,21,25,20,86,72,88,60
Sam Larsson,1900,75,793,711,73,80,38,59,79,79,68,76,80,66,55,75,66,78,75,71,76,84,77,70,78,82,71,52,40,29,42,25,60,71,58,47
Emilia Larsson,1900,75,67,70,72,75,63,62,68,66,75,69,64,65,50,73,69,55,78,71,63,59,77,74,80,77,60,58,62,70,60,59,69,70,63,47
Jamaal Lascelles,1900,75,41,35,49,512,75,75,40,41,34,51,27,33,20,40,46,16,61,55,37,53,51,71,60,41,60,76,76,74,75,75,84,51,83,84
Hayley Lauder,1900,75,77,57,65,66,73,65,76,77,57,65,56,22,50,65,75,42,71,46,53,68,75,72,67,63,58,72,69,73,75,72,76,70,65,55
Jade Le Guilly,1900,75,61,55,70,66,75,63,68,56,59,59,46,46,52,57,75,49,80,70,61,71,67,69,75,59,62,75,62,77,77,72,68,74,60,56
Margaux Le Mouël,1900,75,67,61,69,74,70,62,70,65,60,61,64,52,60,76,51,51,78,73,60,61,57,72,80,77,65,74,47,72,73,71,57,84,54,58
Cristian Lema,1900,75,341,53,582,421,751,831,35,34,47,74,43,37,69,49,42,67,66,64,65,31,33,63,53,32,66,72,82,76,75,71,74,67,91,85
Justine Lerond,1900,75,74,75,67,78,41,73,40,42,11,50,10,9,19,31,13,14,26,21,16,38,45,71,17,13,41,13,12,15,14,11,63,32,68,29
Ondřej Lingr,1900,75,781,741,701,77,539,802,79,78,75,75,74,68,68,72,69,68,72,69,66,84,87,70,76,76,75,49,79,51,49,48,90,78,78,84
Silvia Lloris,1900,75,80,68,73,76,69,66,79,80,70,61,74,63,59,70,66,66,80,77,64,73,77,69,77,77,67,70,57,69,75,65,72,70,62,69
Enzo Loiodice,1900,75,662,646,705,774,695,674,64,67,58,73,78,39,58,79,43,69,79,76,67,72,82,68,79,77,69,67,58,71,72,71,63,81,58,74
Ivi López,1900,75,80,75,71,77,39,732,81,80,76,78,74,66,75,70,68,80,72,69,79,85,84,71,78,75,78,41,59,36,36,29,78,82,74,58
Anthony Losilla,1900,75,511,592,67,71,731,76,51,51,55,67,65,66,49,67,55,47,75,71,58,66,66,72,74,71,75,76,72,72,75,69,74,84,75,67
Jordan Lotomba,1900,75,781,48,651,721,71,682,78,78,44,58,46,46,50,59,69,39,72,59,61,73,73,73,73,71,65,72,59,72,71,73,73,78,66,61
Sandi Lovrič,1900,75,574,64,742,722,697,713,60,55,66,64,64,47,48,78,66,65,78,74,68,63,65,76,76,72,70,72,55,68,72,68,65,78,68,70
Eduard Löwen,1900,75,66,70,74,72,71,83,60,70,64,85,75,50,70,73,70,78,76,73,72,46,67,76,75,75,71,69,70,71,74,66,77,88,81,82
Nina Lührßen,1900,75,71,69,75,73,64,71,73,70,68,70,72,62,64,72,78,74,77,73,64,70,69,71,75,73,73,64,52,65,65,66,70,71,71,71
Olivie Lukášová,1900,75,70,72,69,76,41,76,40,43,6,52,7,8,21,48,13,15,43,31,13,39,41,77,14,7,51,13,10,10,16,15,67,31,77,31
Tyler Lussi,1900,75,76,63,73,74,68,62,76,76,62,72,60,58,43,69,77,56,78,68,71,77,74,77,76,71,72,66,66,68,68,71,69,71,52,72
Giulio Maggiore,1900,75,713,611,701,733,72,72,70,71,58,71,61,47,53,76,58,42,76,75,59,67,67,79,73,73,76,76,57,68,76,75,69,81,68,73
Arne Maier,1900,75,682,621,752,761,69,742,66,70,59,75,66,43,38,78,71,53,80,77,56,68,72,77,78,76,74,70,49,71,73,70,68,78,77,61
Ramona Maier,1900,75,70,75,70,72,47,66,72,69,77,75,72,73,60,66,68,73,75,66,70,77,73,76,75,69,74,46,73,28,54,55,81,56,71,60
Víctor Ignacio Malcorra,1900,75,74,715,796,75,59,681,75,73,70,78,70,49,70,80,80,80,77,78,82,77,80,69,74,75,71,58,45,65,60,51,68,69,73,56
Emanuel Mammana,1900,75,792,42,661,71,75,721,81,77,28,63,48,36,62,61,61,34,76,74,44,75,69,75,73,68,79,76,72,76,73,75,79,65,75,72
Cecilia Marcos,1900,75,71,72,73,78,43,53,71,71,75,77,66,60,66,69,77,60,79,67,61,72,73,68,80,81,64,49,55,35,45,35,65,64,56,28
